BeachName,Date,Notes,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureYN,ClosureReason,MonitoringOrg,DNRID
Libbs Lake,06/04/2014,NA,1.9746358687061647,1.9746358687061647,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/16/2014,NA,8.7637378844015,7.505801148771455,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/02/2014,NA,5.493231048045101,9.64670453154448,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/30/2014,NA,3.3947537241136874,6.212434754734296,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/01/2015,NA,7.350400319253924,7.350400319253924,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/15/2015,NA,5.564939220581116,9.027434934159652,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/13/2017,NA,8.929705485835873,8.929705485835873,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/11/2017,NA,2.4410282720254464,7.947801824036042,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/08/2017,NA,2.1533827903669653,3.2113555202018764,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/13/2018,NA,10.362954520978892,10.362954520978892,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/11/2018,NA,1.5439593106327716,8.322575612510207,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/09/2018,NA,0,1.0791812460476249,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/17/2019,NA,4.919685040646101,4.919685040646101,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/20/2020,NA,5.398729553125621,5.398729553125621,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/13/2020,NA,5.0540590328430035,7.3061856832579775,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/15/2021,NA,8.890027051123816,8.890027051123816,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/20/2021,NA,0.8613531161467861,0.8613531161467861,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/10/2021,NA,3.4599966594814,3.020493871408287,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/08/2022,NA,1.336965027750064,1.336965027750064,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/13/2022,NA,20.58264789542172,20.58264789542172,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/19/2022,NA,6.239420409840131,18.74782119962987,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/10/2022,NA,4.822962256233099,18.807152062792746,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/09/2023,NA,6.398080413312552,6.398080413312552,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/06/2023,NA,3.312322959215655,6.787280687400533,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/03/2023,NA,4.8096411039092395,5.677009256419396,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,05/30/2024,NA,7.021515112496308,7.021515112496308,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,06/27/2024,NA,0,4.907828448626966,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,07/25/2024,NA,9.82345973123521,6.866303690936181,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
Libbs Lake,08/22/2024,NA,4.234386319707643,9.826012715182612,cfu,NA,NA,NA,NA,N,NA,Minnetonka,27008500
