beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Sand Point Beach,2018-07-10,3.5,10.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-17,12.4,12.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-24,14.1,12.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-31,12.6,10.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-08-07,11.8,9.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-08-14,24.9,14.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-08-21,10,13.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-08-28,9.9,13,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-05-21,4.7,4.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-05-28,4.5,4.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-06-04,1.4,3.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-06-11,3.5,3.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-06-18,1,2.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-06-25,12,3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-07-02,26.6,4.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-07-09,243.4,12.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-07-10,6.2,10.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-07-16,59.2,17.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-07-23,21.6,29.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-07-30,11,28.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-08-06,67.2,33.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-08-13,16.5,27.4,,N,NA,PriorLake,70002600,mpn
