"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Nokomis - Main","27001900",2018-05-29,"MPRB",15.93,NA,"cfu","N",""
"Wirth","27003700",2018-05-29,"MPRB",43.15,NA,"cfu","N",""
"Harriet - Main","27001600",2018-06-04,"MPRB",1,NA,"cfu","N",""
"Harriet - SE","27001600",2018-06-04,"MPRB",6,NA,"cfu","N",""
"Hiawatha","27001800",2018-06-04,"MPRB",15.5,NA,"cfu","N",""
"Nokomis - 50th","27001900",2018-06-04,"MPRB",33,NA,"cfu","N",""
"Nokomis - Main","27001900",2018-06-04,"MPRB",2.5,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-06-04,"MPRB",4.7,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-06-04,"MPRB",8.6,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-06-04,"MPRB",3.5,NA,"cfu","N",""
"Wirth","27003700",2018-06-04,"MPRB",56.05,NA,"cfu","N",""
"Cedar - East","27003900",2018-06-04,"MPRB",22.65,NA,"cfu","N",""
"Cedar - Point","27003900",2018-06-04,"MPRB",10.05,NA,"cfu","N",""
"Harriet - Main","27001600",2018-06-11,"MPRB",24,NA,"cfu","N",""
"Harriet - SE","27001600",2018-06-11,"MPRB",114,NA,"cfu","N",""
"Hiawatha","27001800",2018-06-11,"MPRB",86.5,NA,"cfu","N",""
"Nokomis - 50th","27001900",2018-06-11,"MPRB",204,NA,"cfu","N",""
"Nokomis - Main","27001900",2018-06-11,"MPRB",23,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-06-11,"MPRB",40.67,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-06-11,"MPRB",9.5,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-06-11,"MPRB",99,NA,"cfu","N",""
"Wirth","27003700",2018-06-11,"MPRB",2,NA,"cfu","N",""
"Cedar - East","27003900",2018-06-11,"MPRB",54.5,NA,"cfu","N",""
"Cedar - Point","27003900",2018-06-11,"MPRB",2.5,NA,"cfu","N",""
"Harriet - Main","27001600",2018-06-18,"MPRB",93.5,NA,"cfu","N",""
"Harriet - SE","27001600",2018-06-18,"MPRB",489,NA,"cfu","N",""
"Hiawatha","27001800",2018-06-18,"MPRB",242.5,NA,"cfu","N",""
"Nokomis - 50th","27001900",2018-06-18,"MPRB",21.5,NA,"cfu","N",""
"Nokomis - Main","27001900",2018-06-18,"MPRB",46.5,12.06,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-06-18,"MPRB",557.5,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-06-18,"MPRB",18.67,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-06-18,"MPRB",19,NA,"cfu","N",""
"Wirth","27003700",2018-06-18,"MPRB",21,20.91,"cfu","N",""
"Cedar - East","27003900",2018-06-18,"MPRB",225,NA,"cfu","N",""
"Cedar - Main","27003900",2018-06-18,"MPRB",27.5,NA,"cfu","N",""
"Cedar - Point","27003900",2018-06-18,"MPRB",7,NA,"cfu","N",""
"Harriet - Main","27001600",2018-06-25,"MPRB",45,NA,"cfu","N",""
"Harriet - SE","27001600",2018-06-25,"MPRB",199.5,NA,"cfu","N",""
"Hiawatha","27001800",2018-06-25,"MPRB",625.5,NA,"cfu","N",""
"Nokomis - 50th","27001900",2018-06-25,"MPRB",22.5,NA,"cfu","N",""
"Nokomis - Main","27001900",2018-06-25,"MPRB",23.5,15.85,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-06-25,"MPRB",12.5,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-06-25,"MPRB",1.5,NA,"cfu","N",""
"Wirth","27003700",2018-06-25,"MPRB",8.5,15.39,"cfu","N",""
"Cedar - East","27003900",2018-06-25,"MPRB",11,NA,"cfu","N",""
"Cedar - Main","27003900",2018-06-25,"MPRB",7,NA,"cfu","N",""
"Cedar - Point","27003900",2018-06-25,"MPRB",4,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-06-25,"MPRB",1643,NA,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - 32nd","27003100",2018-06-27,"MPRB",80,61.3,"cfu","N",""
"Harriet - Main","27001600",2018-07-02,"MPRB",20.5,18.33,"cfu","N",""
"Harriet - SE","27001600",2018-07-02,"MPRB",8,55.65,"cfu","N",""
"Nokomis - 50th","27001900",2018-07-02,"MPRB",43,42.58,"cfu","N",""
"Nokomis - Main","27001900",2018-07-02,"MPRB",119,23.7,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-07-02,"MPRB",57.5,107.29,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-07-02,"MPRB",4.5,22.67,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-07-02,"MPRB",10.5,7.52,"cfu","N",""
"Wirth","27003700",2018-07-02,"MPRB",10,11.49,"cfu","N",""
"Cedar - East","27003900",2018-07-02,"MPRB",13,33.1,"cfu","N",""
"Cedar - Main","27003900",2018-07-02,"MPRB",8,NA,"cfu","N",""
"Cedar - Point","27003900",2018-07-02,"MPRB",14.5,6.33,"cfu","N",""
"Hiawatha","27001800",2018-07-02,"MPRB",474.5,157.36,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2018-07-09,"MPRB",9.5,28.76,"cfu","N",""
"Harriet - SE","27001600",2018-07-09,"MPRB",40,81.33,"cfu","N",""
"Nokomis - 50th","27001900",2018-07-09,"MPRB",11.5,34.49,"cfu","N",""
"Nokomis - Main","27001900",2018-07-09,"MPRB",13.5,33.21,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-07-09,"MPRB",9.5,67.14,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-07-09,"MPRB",9.5,26.1,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-07-09,"MPRB",1,4.89,"cfu","N",""
"Wirth","27003700",2018-07-09,"MPRB",4,6.78,"cfu","N",""
"Cedar - East","27003900",2018-07-09,"MPRB",11,28.65,"cfu","N",""
"Cedar - Main","27003900",2018-07-09,"MPRB",13,NA,"cfu","N",""
"Cedar - Point","27003900",2018-07-09,"MPRB",5.33,5.58,"cfu","N",""
"Hiawatha","27001800",2018-07-09,"MPRB",34.5,184.67,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2018-07-16,"MPRB",6,22.03,"cfu","N",""
"Harriet - SE","27001600",2018-07-16,"MPRB",6.5,45.86,"cfu","N",""
"Nokomis - 50th","27001900",2018-07-16,"MPRB",7,17.57,"cfu","N",""
"Nokomis - Main","27001900",2018-07-16,"MPRB",60.5,40.29,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-07-16,"MPRB",57,83.64,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-07-16,"MPRB",7.5,18.61,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-07-16,"MPRB",6.5,4.53,"cfu","N",""
"Wirth","27003700",2018-07-16,"MPRB",1,5.9,"cfu","N",""
"Cedar - East","27003900",2018-07-16,"MPRB",9,19.98,"cfu","N",""
"Cedar - Main","27003900",2018-07-16,"MPRB",3.5,9.39,"cfu","N",""
"Cedar - Point","27003900",2018-07-16,"MPRB",64,10.67,"cfu","N",""
"Hiawatha","27001800",2018-07-16,"MPRB",40,158.27,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2018-07-23,"MPRB",3,11.07,"cfu","N",""
"Harriet - SE","27001600",2018-07-23,"MPRB",1.33,14.08,"cfu","N",""
"Hiawatha","27001800",2018-07-23,"MPRB",20.5,96.56,"cfu","N",""
"Nokomis - 50th","27001900",2018-07-23,"MPRB",3,11.85,"cfu","N",""
"Nokomis - Main","27001900",2018-07-23,"MPRB",17.5,33.14,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-07-23,"MPRB",8,28.83,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-07-23,"MPRB",6,7.52,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-07-23,"MPRB",6,3.61,"cfu","N",""
"Wirth","27003700",2018-07-23,"MPRB",1,3.21,"cfu","N",""
"Cedar - East","27003900",2018-07-23,"MPRB",1.5,7.34,"cfu","N",""
"Cedar - Main","27003900",2018-07-23,"MPRB",3,6.03,"cfu","N",""
"Cedar - Point","27003900",2018-07-23,"MPRB",7.5,10.82,"cfu","N",""
"Harriet - Main","27001600",2018-07-30,"MPRB",5,7.14,"cfu","N",""
"Harriet - SE","27001600",2018-07-30,"MPRB",11.67,14.54,"cfu","N",""
"Hiawatha","27001800",2018-07-30,"MPRB",76.33,63.4,"cfu","N",""
"Nokomis - 50th","27001900",2018-07-30,"MPRB",17,11.2,"cfu","N",""
"Nokomis - Main","27001900",2018-07-30,"MPRB",12.5,29.21,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-07-30,"MPRB",42,25.35,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-07-30,"MPRB",7,6.7,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-07-30,"MPRB",3.5,4.84,"cfu","N",""
"Wirth","27003700",2018-07-30,"MPRB",1,2.09,"cfu","N",""
"Cedar - East","27003900",2018-07-30,"MPRB",2.5,5.45,"cfu","N",""
"Cedar - Main","27003900",2018-07-30,"MPRB",6.5,5.94,"cfu","N",""
"Cedar - Point","27003900",2018-07-30,"MPRB",7,12.1,"cfu","N",""
"Harriet - Main","27001600",2018-08-06,"MPRB",6,5.58,"cfu","N",""
"Harriet - SE","27001600",2018-08-06,"MPRB",10.5,15.35,"cfu","N",""
"Hiawatha","27001800",2018-08-06,"MPRB",36.5,37.96,"cfu","N",""
"Nokomis - 50th","27001900",2018-08-06,"MPRB",9.67,8.31,"cfu","N",""
"Nokomis - Main","27001900",2018-08-06,"MPRB",6,16.07,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-08-06,"MPRB",27,21.79,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-08-06,"MPRB",6,7.09,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-08-06,"MPRB",152.5,8.27,"cfu","N",""
"Wirth","27003700",2018-08-06,"MPRB",1,1.32,"cfu","N",""
"Cedar - East","27003900",2018-08-06,"MPRB",2.5,3.92,"cfu","N",""
"Cedar - Main","27003900",2018-08-06,"MPRB",6,5.56,"cfu","N",""
"Cedar - Point","27003900",2018-08-06,"MPRB",26,13.6,"cfu","N",""
"Harriet - Main","27001600",2018-08-13,"MPRB",3,4.43,"cfu","N",""
"Harriet - SE","27001600",2018-08-13,"MPRB",10.5,11.75,"cfu","N",""
"Hiawatha","27001800",2018-08-13,"MPRB",14.5,31.92,"cfu","N",""
"Nokomis - 50th","27001900",2018-08-13,"MPRB",2,5.86,"cfu","N",""
"Nokomis - Main","27001900",2018-08-13,"MPRB",8,14.47,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2018-08-13,"MPRB",25.33,26.51,"cfu","N",""
"Bde Maka Ska - Main","27003100",2018-08-13,"MPRB",2,5.19,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2018-08-13,"MPRB",251.5,24.98,"cfu","N",""
"Wirth","27003700",2018-08-13,"MPRB",1.5,1.08,"cfu","N",""
"Cedar - East","27003900",2018-08-13,"MPRB",3,3.02,"cfu","N",""
"Cedar - Main","27003900",2018-08-13,"MPRB",1,3.33,"cfu","N",""
"Cedar - Point","27003900",2018-08-13,"MPRB",3,12.13,"cfu","N",""
"Nokomis - Main","27001900",2018-08-20,"MPRB",3.5,8.19,"cfu","N",""
"Wirth","27003700",2018-08-20,"MPRB",1,1.08,"cfu","N",""
"Nokomis - Main","27001900",2018-08-27,"MPRB",6.67,6.75,"cfu","N",""
"Wirth","27003700",2018-08-27,"MPRB",4.5,1.47,"cfu","N",""
"Nokomis - Main","27001900",2019-05-21,"MPRB",6,NA,"cfu","N",""
"Wirth","27003700",2019-05-21,"MPRB",39.33,NA,"cfu","N",""
"Nokomis - Main","27001900",2019-05-28,"MPRB",8.67,NA,"cfu","N",""
"Wirth","27003700",2019-05-28,"MPRB",69.5,NA,"cfu","N",""
"Harriet - Main","27001600",2019-06-03,"MPRB",4,NA,"cfu","N",""
"Harriet - SE","27001600",2019-06-03,"MPRB",2,NA,"cfu","N",""
"Hiawatha","27001800",2019-06-03,"MPRB",168,NA,"cfu","N",""
"Nokomis - 50th","27001900",2019-06-03,"MPRB",1,NA,"cfu","N",""
"Nokomis - Main","27001900",2019-06-03,"MPRB",4,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2019-06-03,"MPRB",26.67,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-06-03,"MPRB",24.5,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2019-06-03,"MPRB",10.5,NA,"cfu","N",""
"Wirth","27003700",2019-06-03,"MPRB",8,NA,"cfu","N",""
"Cedar - East","27003900",2019-06-03,"MPRB",7,NA,"cfu","N",""
"Cedar - Main","27003900",2019-06-03,"MPRB",4,NA,"cfu","N",""
"Cedar - Point","27003900",2019-06-03,"MPRB",2,NA,"cfu","N",""
"Harriet - Main","27001600",2019-06-10,"MPRB",2,NA,"cfu","N",""
"Harriet - SE","27001600",2019-06-10,"MPRB",8.5,NA,"cfu","N",""
"Hiawatha","27001800",2019-06-10,"MPRB",36,NA,"cfu","N",""
"Nokomis - 50th","27001900",2019-06-10,"MPRB",1,NA,"cfu","N",""
"Nokomis - Main","27001900",2019-06-10,"MPRB",5,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2019-06-10,"MPRB",7.5,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-06-10,"MPRB",2.33,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2019-06-10,"MPRB",12,NA,"cfu","N",""
"Wirth","27003700",2019-06-10,"MPRB",1.5,NA,"cfu","N",""
"Cedar - East","27003900",2019-06-10,"MPRB",13,NA,"cfu","N",""
"Cedar - Main","27003900",2019-06-10,"MPRB",8.5,NA,"cfu","N",""
"Cedar - Point","27003900",2019-06-10,"MPRB",4.5,NA,"cfu","N",""
"Harriet - Main","27001600",2019-06-17,"MPRB",1.5,NA,"cfu","N",""
"Harriet - SE","27001600",2019-06-17,"MPRB",12,NA,"cfu","N",""
"Hiawatha","27001800",2019-06-17,"MPRB",52.5,NA,"cfu","N",""
"Nokomis - 50th","27001900",2019-06-17,"MPRB",10,NA,"cfu","N",""
"Nokomis - Main","27001900",2019-06-17,"MPRB",3,5,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2019-06-17,"MPRB",123.5,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-06-17,"MPRB",81,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2019-06-17,"MPRB",69.67,NA,"cfu","N",""
"Wirth","27003700",2019-06-17,"MPRB",2,9.19,"cfu","N",""
"Cedar - East","27003900",2019-06-17,"MPRB",7,NA,"cfu","N",""
"Cedar - Main","27003900",2019-06-17,"MPRB",8,NA,"cfu","N",""
"Cedar - Point","27003900",2019-06-17,"MPRB",5,NA,"cfu","N",""
"Harriet - Main","27001600",2019-06-24,"MPRB",182.5,NA,"cfu","N",""
"Harriet - SE","27001600",2019-06-24,"MPRB",474,NA,"cfu","N",""
"Hiawatha","27001800",2019-06-24,"MPRB",751.5,NA,"cfu","N",""
"Nokomis - 50th","27001900",2019-06-24,"MPRB",106,NA,"cfu","N",""
"Nokomis - Main","27001900",2019-06-24,"MPRB",180,9.87,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-06-24,"MPRB",400,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2019-06-24,"MPRB",841,NA,"cfu","N",""
"Wirth","27003700",2019-06-24,"MPRB",6.5,6.41,"cfu","N",""
"Cedar - East","27003900",2019-06-24,"MPRB",32.33,NA,"cfu","N",""
"Cedar - Main","27003900",2019-06-24,"MPRB",215,NA,"cfu","N",""
"Cedar - Point","27003900",2019-06-24,"MPRB",22,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2019-06-24,"MPRB",1553,NA,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - 32nd","27003100",2019-06-26,"MPRB",73.33,NA,"cfu","N",""
"Harriet - Main","27001600",2019-07-01,"MPRB",46.5,10.04,"cfu","N",""
"Harriet - SE","27001600",2019-07-01,"MPRB",319.5,29.72,"cfu","N",""
"Nokomis - 50th","27001900",2019-07-01,"MPRB",210,11.74,"cfu","N",""
"Nokomis - Main","27001900",2019-07-01,"MPRB",87.5,15.67,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-07-01,"MPRB",880.5,69.58,"cfu","N",""
"Wirth","27003700",2019-07-01,"MPRB",59.5,6.22,"cfu","N",""
"Cedar - East","27003900",2019-07-01,"MPRB",41,15.32,"cfu","N",""
"Cedar - Main","27003900",2019-07-01,"MPRB",70.67,21.05,"cfu","N",""
"Cedar - Point","27003900",2019-07-01,"MPRB",28.5,7.76,"cfu","N",""
"Hiawatha","27001800",2019-07-01,"MPRB",1161.5,194.33,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-07-01,"MPRB",1643,144.51,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - Thomas","27003100",2019-07-01,"MPRB",1308.5,99.31,"cfu","Y","ecoli_1dayGM"
"Hiawatha","27001800",2019-07-02,"MPRB",411,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2019-07-02,"MPRB",413.5,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2019-07-02,"MPRB",625.5,NA,"cfu","N",""
"Harriet - Main","27001600",2019-07-08,"MPRB",54.5,16.92,"cfu","N",""
"Harriet - SE","27001600",2019-07-08,"MPRB",3,34.13,"cfu","N",""
"Nokomis - 50th","27001900",2019-07-08,"MPRB",52.5,25.96,"cfu","N",""
"Nokomis - Main","27001900",2019-07-08,"MPRB",55,26.47,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-07-08,"MPRB",295,114.45,"cfu","N",""
"Wirth","27003700",2019-07-08,"MPRB",2.5,4.93,"cfu","N",""
"Cedar - East","27003900",2019-07-08,"MPRB",48,22.52,"cfu","N",""
"Cedar - Main","27003900",2019-07-08,"MPRB",14.5,27.23,"cfu","N",""
"Cedar - Point","27003900",2019-07-08,"MPRB",12.67,11.29,"cfu","N",""
"Hiawatha","27001800",2019-07-08,"MPRB",70.5,163.58,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-07-08,"MPRB",982,297.26,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-07-08,"MPRB",91.5,153.12,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2019-07-15,"MPRB",44.53,31.45,"cfu","N",""
"Harriet - SE","27001600",2019-07-15,"MPRB",1,22.25,"cfu","N",""
"Nokomis - 50th","27001900",2019-07-15,"MPRB",19.3,47.03,"cfu","N",""
"Nokomis - Main","27001900",2019-07-15,"MPRB",16.9,33.81,"cfu","N",""
"Wirth","27003700",2019-07-15,"MPRB",5.5,6.39,"cfu","N",""
"Cedar - East","27003900",2019-07-15,"MPRB",61.6,30.73,"cfu","N",""
"Cedar - Main","27003900",2019-07-15,"MPRB",11.55,28.93,"cfu","N",""
"Cedar - Point","27003900",2019-07-15,"MPRB",48.25,18.16,"cfu","N",""
"Hiawatha","27001800",2019-07-15,"MPRB",42.7,169.5,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-07-15,"MPRB",2076.45,915.34,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - Main","27003100",2019-07-15,"MPRB",42.4,204.5,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-07-15,"MPRB",34.85,189.68,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2019-07-22,"MPRB",9,45,"cfu","N",""
"Harriet - SE","27001600",2019-07-22,"MPRB",8,20.52,"cfu","N",""
"Nokomis - 50th","27001900",2019-07-22,"MPRB",4,39.15,"cfu","N",""
"Nokomis - Main","27001900",2019-07-22,"MPRB",9.5,42.58,"cfu","N",""
"Wirth","27003700",2019-07-22,"MPRB",1,5.56,"cfu","N",""
"Cedar - East","27003900",2019-07-22,"MPRB",8.5,31.94,"cfu","N",""
"Cedar - Main","27003900",2019-07-22,"MPRB",9.5,29.94,"cfu","N",""
"Cedar - Point","27003900",2019-07-22,"MPRB",40,27.53,"cfu","N",""
"Hiawatha","27001800",2019-07-22,"MPRB",91,189.21,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-07-22,"MPRB",23.5,656.85,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Main","27003100",2019-07-22,"MPRB",57.5,190.96,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-07-22,"MPRB",73.5,191.72,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2019-07-29,"MPRB",3,19.79,"cfu","N",""
"Harriet - SE","27001600",2019-07-29,"MPRB",13.5,10.07,"cfu","N",""
"Nokomis - 50th","27001900",2019-07-29,"MPRB",59,34.82,"cfu","N",""
"Nokomis - Main","27001900",2019-07-29,"MPRB",21.5,27.84,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-07-29,"MPRB",10,91.31,"cfu","N",""
"Wirth","27003700",2019-07-29,"MPRB",109.5,9.78,"cfu","N",""
"Cedar - East","27003900",2019-07-29,"MPRB",6,22.81,"cfu","N",""
"Cedar - Main","27003900",2019-07-29,"MPRB",64.5,23.53,"cfu","N",""
"Cedar - Point","27003900",2019-07-29,"MPRB",123.5,38.87,"cfu","N",""
"Hiawatha","27001800",2019-07-29,"MPRB",904,196.33,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-07-29,"MPRB",1769.5,222.47,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - 32nd","27003100",2019-07-29,"MPRB",530,529.77,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2019-08-05,"MPRB",23.5,17.26,"cfu","N",""
"Harriet - SE","27001600",2019-08-05,"MPRB",25,6.05,"cfu","N",""
"Nokomis - 50th","27001900",2019-08-05,"MPRB",107.67,30.47,"cfu","N",""
"Nokomis - Main","27001900",2019-08-05,"MPRB",112.5,29.27,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-08-05,"MPRB",247.5,70.84,"cfu","N",""
"Wirth","27003700",2019-08-05,"MPRB",40.5,9.06,"cfu","N",""
"Cedar - East","27003900",2019-08-05,"MPRB",6.5,15.78,"cfu","N",""
"Cedar - Main","27003900",2019-08-05,"MPRB",90.5,24.73,"cfu","N",""
"Cedar - Point","27003900",2019-08-05,"MPRB",14.5,33.96,"cfu","N",""
"Hiawatha","27001800",2019-08-05,"MPRB",210.5,139.52,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-08-05,"MPRB",539.5,423.99,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-08-05,"MPRB",138.5,141.98,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2019-08-12,"MPRB",69,18.1,"cfu","N",""
"Harriet - SE","27001600",2019-08-12,"MPRB",6,6.95,"cfu","N",""
"Nokomis - 50th","27001900",2019-08-12,"MPRB",33,27.71,"cfu","N",""
"Nokomis - Main","27001900",2019-08-12,"MPRB",28.5,25.66,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-08-12,"MPRB",31,45.14,"cfu","N",""
"Cedar - East","27003900",2019-08-12,"MPRB",11,11.75,"cfu","N",""
"Cedar - Main","27003900",2019-08-12,"MPRB",12,23.81,"cfu","N",""
"Cedar - Point","27003900",2019-08-12,"MPRB",23,38.06,"cfu","N",""
"Hiawatha","27001800",2019-08-12,"MPRB",146,161.16,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-08-12,"MPRB",167.33,297.61,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-08-12,"MPRB",613.5,207.73,"cfu","Y","ecoli_30dayGM"
"Wirth","27003700",2019-08-12,"MPRB",1454,32.36,"cfu","Y","ecoli_1dayGM"
"Wirth","27003700",2019-08-14,"MPRB",238.5,NA,"cfu","N",""
"Harriet - Main","27001600",2019-08-19,"MPRB",44.5,18.11,"cfu","N",""
"Harriet - SE","27001600",2019-08-19,"MPRB",20.5,12.71,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-08-19,"MPRB",68.5,49.67,"cfu","N",""
"Wirth","27003700",2019-08-19,"MPRB",391.67,76.82,"cfu","N",""
"Cedar - East","27003900",2019-08-19,"MPRB",45,11.04,"cfu","N",""
"Cedar - Main","27003900",2019-08-19,"MPRB",34.5,29.66,"cfu","N",""
"Cedar - Point","27003900",2019-08-19,"MPRB",93,43.36,"cfu","N",""
"Hiawatha","27001800",2019-08-19,"MPRB",1013,303.17,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2019-08-19,"MPRB",45.5,138.61,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2019-08-19,"MPRB",19,183.84,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2019-08-26,"MPRB",2.5,14.02,"cfu","N",""
"Harriet - SE","27001600",2019-08-26,"MPRB",6.5,12.2,"cfu","N",""
"Bde Maka Ska - Main","27003100",2019-08-26,"MPRB",30,43.61,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2019-08-26,"MPRB",11,125.73,"cfu","N",""
"Cedar - East","27003900",2019-08-26,"MPRB",20.5,13.23,"cfu","N",""
"Cedar - Main","27003900",2019-08-26,"MPRB",14,32.05,"cfu","N",""
"Cedar - Point","27003900",2019-08-26,"MPRB",6,29.67,"cfu","N",""
"Hiawatha","27001800",2019-08-26,"MPRB",1374,521.76,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - 32nd","27003100",2019-08-26,"MPRB",103,186.27,"cfu","Y","ecoli_30dayGM"
"Wirth","27003700",2019-08-26,"MPRB",320.5,243.59,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2020-06-10,"MPRB",3,NA,"cfu","N",""
"Harriet - SE","27001600",2020-06-10,"MPRB",776.5,NA,"cfu","N",""
"Hiawatha","27001800",2020-06-10,"MPRB",117,NA,"cfu","N",""
"Nokomis - 50th","27001900",2020-06-10,"MPRB",14,NA,"cfu","N",""
"Nokomis - Main","27001900",2020-06-10,"MPRB",15,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2020-06-11,"MPRB",11.33,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2020-06-11,"MPRB",13,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2020-06-11,"MPRB",12,NA,"cfu","N",""
"Wirth","27003700",2020-06-11,"MPRB",4,NA,"cfu","N",""
"Cedar - East","27003900",2020-06-11,"MPRB",2.5,NA,"cfu","N",""
"Cedar - Main","27003900",2020-06-11,"MPRB",17.5,NA,"cfu","N",""
"Cedar - Point","27003900",2020-06-11,"MPRB",3.5,NA,"cfu","N",""
"Harriet - Main","27001600",2020-06-15,"MPRB",5.5,NA,"cfu","N",""
"Harriet - SE","27001600",2020-06-15,"MPRB",68.5,NA,"cfu","N",""
"Hiawatha","27001800",2020-06-15,"MPRB",119,NA,"cfu","N",""
"Nokomis - 50th","27001900",2020-06-15,"MPRB",15.5,NA,"cfu","N",""
