Date,Ecoli_units,Ecoli_1dGM,Ecoli_30dGM,BeachName,DNRID,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureYN,ClosureReason,MonitoringOrg
05/28/2024,mpn,6.511816855068718,6.511816855068718,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/04/2024,mpn,13.282586416781653,12.13688279860246,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/11/2024,mpn,2.5461951988734857,11.170299235361929,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/17/2024,mpn,11.665466052538429,15.034560907019953,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/24/2024,mpn,8.124851620837132,17.091833153578353,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/02/2024,mpn,8.089765670823933,17.73198153752352,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/08/2024,mpn,6.365978428845323,14.926025234219356,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/15/2024,mpn,15.658714750033763,20.245562925375257,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/16/2024,mpn,10.200805871655032,22.84575721306925,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/22/2024,mpn,9.953578623231857,22.195079471870454,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/29/2024,mpn,9.766774053688506,22.819163954028326,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/05/2024,mpn,9.04570545124162,23.182510705920883,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/12/2024,mpn,7.062482093224819,23.44724740724634,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/19/2024,mpn,9.27278151600599,18.296878793349865,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/26/2024,mpn,14.767833594500296,20.249944386470833,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
05/30/2023,mpn,10.284708462428346,10.284708462428346,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/05/2023,mpn,6.710993825096722,10.420867146673476,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/12/2023,mpn,5.976389805284698,11.486046046404883,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/20/2023,mpn,9.67006717931856,14.431559152566695,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/26/2023,mpn,4.851407624494124,15.210535359301707,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/05/2023,mpn,2.3141822746982004,11.97702144090119,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/11/2023,mpn,5.743170965122236,11.584391316544883,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/17/2023,mpn,3.6241621445029915,10.6301304934523,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/24/2023,mpn,3.0013475046526454,7.924738480671718,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/31/2023,mpn,4.959965868432398,7.968778809310484,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/07/2023,mpn,9.409192121168768,10.84710986919308,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/14/2023,mpn,11.857577706959662,13.327626065592868,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/21/2023,mpn,3.989522749570239,13.475846970197487,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/28/2023,mpn,11.684975051651271,16.998654608500033,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
05/31/2022,mpn,14.340041324978046,14.340041324978046,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/06/2022,mpn,8.512217944838275,14.011798619636302,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/13/2022,mpn,11.661771600013289,17.257015434914805,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/21/2022,mpn,4.699420605648513,17.336820148043103,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/27/2022,mpn,4.645975372596208,17.793062067173935,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/05/2022,mpn,8.148729866753923,15.281346867725912,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/11/2022,mpn,13.421346775951255,17.272901255573125,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/18/2022,mpn,9.31124127302293,16.319329013423534,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/25/2022,mpn,5.516382327845513,16.650757207410404,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/01/2022,mpn,10.075131702093815,18.853278363871496,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/08/2022,mpn,12.775357637818418,20.73022662809341,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/15/2022,mpn,10.511489465188737,19.549744449966393,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/22/2022,mpn,8.094733821151681,19.056226997690906,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/29/2022,mpn,10.031168511419375,20.887802933751644,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/01/2021,mpn,4.530520335293953,4.530520335293953,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/07/2021,mpn,6.509174450779529,6.7689578670684245,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/14/2021,mpn,10.789200984098478,10.91444788508598,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/21/2021,mpn,7.728121620893857,13.067574399614676,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/28/2021,mpn,9.469307390785131,15.83235051161299,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/06/2021,mpn,17.283192268959954,21.005903828304106,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/12/2021,mpn,7.282105557354969,21.319469511699488,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/19/2021,mpn,14.863934223297875,22.972523065805262,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/22/2021,mpn,10.556836317383427,24.120086994064298,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/26/2021,mpn,9.225450586378626,26.10515398631474,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/02/2021,mpn,8.634667907599965,25.78791272130105,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/09/2021,mpn,10.391905717149072,23.16857765830439,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/16/2021,mpn,10.036519376675844,24.21551318198448,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/23/2021,mpn,7.631418662525728,18.62898804566265,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
08/30/2021,mpn,9.188012055366542,18.613799837474037,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
05/26/2020,mpn,9.975056717859237,9.975056717859237,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/01/2020,mpn,3.1316035058977802,8.036311922727311,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/08/2020,mpn,6.7790953176825814,9.942877770719798,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/15/2020,mpn,9.08948492578132,12.810362613468074,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/22/2020,mpn,10.438907712304442,15.989684208877803,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
06/29/2020,mpn,14.073877070218803,17.652509516293595,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
07/06/2020,mpn,9.190986402024196,20.110703425963507,Crystal Beach,19002700,NA,NA,NA,NA,N,NA,Burnsville
