Date,Ecoli_units,BeachName,Ecoli_1dGM,Ecoli_30dGM,ClosureYN,ClosureReason,MonitoringOrg,DOW
2014-05-27,mpn,Alimagnet,6.928203230275509,6.928203230275509,N,NA,Burnsville,19002100
2014-06-03,mpn,Alimagnet,7.483314773547883,7.200411487357017,N,NA,Burnsville,19002100
2014-06-09,mpn,Alimagnet,57.445626465380286,14.387672182979992,N,NA,Burnsville,19002100
2014-06-16,mpn,Alimagnet,23.664319132398465,16.293575745852937,N,NA,Burnsville,19002100
2014-06-23,mpn,Alimagnet,0.05,5.121617302527284,N,NA,Burnsville,19002100
2014-06-30,mpn,Alimagnet,17.299710980244726,6.150221678695078,N,NA,Burnsville,19002100
2014-07-07,mpn,Alimagnet,14.177446878757825,6.9886223506599094,N,NA,Burnsville,19002100
2014-07-14,mpn,Alimagnet,2,3.570640921764507,N,NA,Burnsville,19002100
2014-07-22,mpn,Alimagnet,1.7320508075688772,2.116603455141531,N,NA,Burnsville,19002100
2014-07-28,mpn,Alimagnet,0.31622776601683794,3.0608743348347134,N,NA,Burnsville,19002100
2014-08-04,mpn,Alimagnet,4.2,2.3061501939706592,N,NA,Burnsville,19002100
2014-08-11,mpn,Alimagnet,1.760681686165901,1.519512062616346,N,NA,Burnsville,19002100
2014-08-19,mpn,Alimagnet,243.94261620307347,3.9715102556615562,N,NA,Burnsville,19002100
2014-08-25,mpn,Alimagnet,59.85582678403164,8.066123175445636,N,NA,Burnsville,19002100
2015-05-27,mpn,Alimagnet,80.28424502976907,80.28424502976907,N,NA,Burnsville,19002100
2015-06-01,mpn,Alimagnet,6.87386354243376,23.4917633425409,N,NA,Burnsville,19002100
2015-06-08,mpn,Alimagnet,303.2573164822244,55.107939623437076,N,NA,Burnsville,19002100
2015-06-15,mpn,Alimagnet,79.06680719492851,60.312756948809245,N,NA,Burnsville,19002100
2015-06-23,mpn,Alimagnet,1274.6973052454452,111.02192627968425,Y,Ecoli_1dGM,Burnsville,19002100
2015-06-29,mpn,Alimagnet,1355.4541379183584,195.38879667937482,Y,Ecoli_1dGM,Burnsville,19002100
2015-07-07,mpn,Alimagnet,387.317699053374,437.5955990595432,Y,Ecoli_30dGM,Burnsville,19002100
2015-07-13,mpn,Alimagnet,718.5999512941816,520.0057247019623,Y,Ecoli_30dGM,Burnsville,19002100
2015-07-20,mpn,Alimagnet,18.833215338863408,390.29607050525715,Y,Ecoli_30dGM,Burnsville,19002100
2015-07-27,mpn,Alimagnet,66.22461777919145,216.03128920419888,Y,Ecoli_30dGM,Burnsville,19002100
2015-08-03,mpn,Alimagnet,11.584472366059664,83.34411578254928,N,NA,Burnsville,19002100
2015-08-10,mpn,Alimagnet,563.224200474376,89.82510555429786,N,NA,Burnsville,19002100
2015-08-17,mpn,Alimagnet,2419.6,114.51147656450144,Y,Ecoli_1dGM,Burnsville,19002100
2015-08-24,mpn,Alimagnet,71.15476090888086,149.38428508494871,Y,Ecoli_30dGM,Burnsville,19002100
2015-08-31,mpn,Alimagnet,301.4299255216708,202.27317626391704,Y,Ecoli_30dGM,Burnsville,19002100
2016-06-01,mpn,Alimagnet,30.888185443628768,30.888185443628768,N,NA,Burnsville,19002100
2016-06-06,mpn,Alimagnet,153.02117500529135,68.74988312983092,N,NA,Burnsville,19002100
2016-06-13,mpn,Alimagnet,117.47344380752614,82.1916835599743,N,NA,Burnsville,19002100
2016-06-20,mpn,Alimagnet,86.84342231856135,83.33072104201868,N,NA,Burnsville,19002100
2016-06-27,mpn,Alimagnet,26.92656680678025,66.47836175308534,N,NA,Burnsville,19002100
2016-07-05,mpn,Alimagnet,28.142494558940577,65.25207811387982,N,NA,Burnsville,19002100
2016-07-11,mpn,Alimagnet,154.21413683576483,65.35350410245627,N,NA,Burnsville,19002100
2016-07-18,mpn,Alimagnet,103.2317780530782,63.68594828046684,N,NA,Burnsville,19002100
2016-07-25,mpn,Alimagnet,316.7054151731542,82.4949439318992,N,NA,Burnsville,19002100
2016-08-01,mpn,Alimagnet,190.25141260973595,121.97103610361268,N,NA,Burnsville,19002100
2016-08-08,mpn,Alimagnet,147.8698752281884,169.9652495082314,Y,Ecoli_30dGM,Burnsville,19002100
2016-08-15,mpn,Alimagnet,379.142638066467,203.46786319634424,Y,Ecoli_30dGM,Burnsville,19002100
2016-08-22,mpn,Alimagnet,195.9199836668021,231.2857574737517,Y,Ecoli_30dGM,Burnsville,19002100
2016-08-29,mpn,Alimagnet,446.733567129223,247.75789883112338,Y,Ecoli_30dGM,Burnsville,19002100
2017-05-30,mpn,Alimagnet,17.916472867168917,17.916472867168917,N,NA,Burnsville,19002100
2017-06-05,mpn,Alimagnet,49.14264950122246,29.67259588255541,N,NA,Burnsville,19002100
2017-06-12,mpn,Alimagnet,972.1625378505387,94.94745358038351,N,NA,Burnsville,19002100
2017-06-19,mpn,Alimagnet,52.24136292249658,81.77416458400415,N,NA,Burnsville,19002100
2017-06-26,mpn,Alimagnet,32.4037034920393,67.95349880774438,N,NA,Burnsville,19002100
