Date,BeachName,Ecoli_1dGM,Notes,Ecoli_30dGM,ClosureYN,ClosureReason,Ecoli_units,MonitoringOrg,DOW
2024-06-17,Bertram,2,None,2.910210346337401,N,NA,mpn,Wright County,86007000
2024-06-24,Bertram,4.1,None,3.2800718513674654,N,NA,mpn,Wright County,86007000
2024-07-01,Bertram,1,None,3.056258046347387,N,NA,mpn,Wright County,86007000
2024-07-09,Bertram,2,None,1.420045659553982,N,NA,mpn,Wright County,86007000
2024-07-17,Bertram,158.5,None,3.708049466240113,N,NA,mpn,Wright County,86007000
2024-07-22,Bertram,1,None,3.303496516274286,N,NA,mpn,Wright County,86007000
2024-07-29,Bertram,21.6,None,4.3576482287627005,N,NA,mpn,Wright County,86007000
2024-08-05,Bertram,1.4142135623730951,None,4.891294756668692,N,NA,mpn,Wright County,86007000
2024-08-12,Bertram,3.1,None,5.261938701871897,N,NA,mpn,Wright County,86007000
2024-08-19,Bertram,0.5,None,2.015127705944267,N,NA,mpn,Wright County,86007000
2024-08-26,Bertram,2,None,2.2619043724191696,N,NA,mpn,Wright County,86007000
2025-05-19,Bertram,1,None,1,N,NA,mpn,Wright County,86007000
2025-05-27,Bertram,16.1,None,4.012480529547776,N,NA,mpn,Wright County,86007000
2025-06-02,Bertram,0.7071067811865476,None,1.684414495254129,N,NA,mpn,Wright County,86007000
2025-06-10,Bertram,1,None,1.5176064932892266,N,NA,mpn,Wright County,86007000
2025-06-16,Bertram,6.1,None,1.9136137632872983,N,NA,mpn,Wright County,86007000
2025-06-24,Bertram,1,None,1.9136137632872983,N,NA,mpn,Wright County,86007000
2025-06-30,Bertram,6.687301398920195,None,2.018234668397673,N,NA,mpn,Wright County,86007000
2025-07-07,Bertram,3.1,None,3.0751446841864567,N,NA,mpn,Wright County,86007000
2025-07-14,Bertram,0.5,None,2.739642457237793,N,NA,mpn,Wright County,86007000
2025-07-21,Bertram,0.5,None,1.8056514302664772,N,NA,mpn,Wright County,86007000
2016-08-03,Collinwood,18.7,None,18.7,N,NA,mpn,Wright County,86029300
2017-07-12,Collinwood,11.9,None,11.9,N,NA,mpn,Wright County,86029300
2017-09-12,Collinwood,2,None,2,N,NA,mpn,Wright County,86029300
2018-06-06,Collinwood,6.3,None,6.3,N,NA,mpn,Wright County,86029300
2018-08-13,Collinwood,1,None,1,N,NA,mpn,Wright County,86029300
2019-08-06,Collinwood,8.3,None,8.3,N,NA,mpn,Wright County,86029300
2020-05-27,Collinwood,34.1,None,34.1,N,NA,mpn,Wright County,86029300
2020-06-23,Collinwood,6.2,None,14.540288855452632,N,NA,mpn,Wright County,86029300
2020-07-21,Collinwood,25.6,None,12.598412598418898,N,NA,mpn,Wright County,86029300
2020-07-28,Collinwood,9.8,None,15.839191898578665,N,NA,mpn,Wright County,86029300
2020-08-11,Collinwood,17.3,None,16.31188113406976,N,NA,mpn,Wright County,86029300
2021-06-07,Collinwood,3.1,None,3.1,N,NA,mpn,Wright County,86029300
2021-07-28,Collinwood,727,Closed,727,Y,Ecoli_30dGM,mpn,Wright County,86029300
2021-08-02,Collinwood,4.909946173305974,Reopen,13.340382040163695,N,NA,mpn,Wright County,86029300
2022-07-05,Collinwood,29.5,None,29.5,N,NA,mpn,Wright County,86029300
2022-08-08,Collinwood,8.6,None,8.6,N,NA,mpn,Wright County,86029300
2022-08-31,Collinwood,3.1,None,5.163332257370234,N,NA,mpn,Wright County,86029300
2023-05-22,Collinwood,1,None,1,N,NA,mpn,Wright County,86029300
2023-06-26,Collinwood,104.6,None,104.6,N,NA,mpn,Wright County,86029300
2023-07-31,Collinwood,2,None,2,N,NA,mpn,Wright County,86029300
2023-08-14,Collinwood,16.1,None,5.674504383644443,N,NA,mpn,Wright County,86029300
2023-08-30,Collinwood,8.6,None,6.518056303951947,N,NA,mpn,Wright County,86029300
2024-05-20,Collinwood,3.1,None,3.1,N,NA,mpn,Wright County,86029300
2024-05-28,Collinwood,16.9,None,7.238093671679029,N,NA,mpn,Wright County,86029300
2024-06-03,Collinwood,5.142956348249516,None,6.101245757874887,N,NA,mpn,Wright County,86029300
2024-06-10,Collinwood,3.1,None,5.328526791574773,N,NA,mpn,Wright County,86029300
2024-06-17,Collinwood,24.9,None,6.889787902116445,N,NA,mpn,Wright County,86029300
2024-06-24,Collinwood,1,None,5.705743405472938,N,NA,mpn,Wright County,86029300
2024-07-01,Collinwood,44.14521491622847,None,8.766414437230173,N,NA,mpn,Wright County,86029300
2024-07-08,Collinwood,20.9,None,12.10354064685067,N,NA,mpn,Wright County,86029300
2024-07-17,Collinwood,80.8,None,20.84110352171028,N,NA,mpn,Wright County,86029300
2024-07-22,Collinwood,1,None,12.196095591113039,N,NA,mpn,Wright County,86029300
2024-07-29,Collinwood,1,None,12.196095591113039,N,NA,mpn,Wright County,86029300
2024-08-05,Collinwood,23.22326419778236,None,9.845415039026623,N,NA,mpn,Wright County,86029300
2024-08-12,Collinwood,365.4,Closed,15.861261974885855,N,NA,mpn,Wright County,86029300
2024-08-14,Collinwood,44.1,Reopen,18.35611276639804,N,NA,mpn,Wright County,86029300
2024-08-19,Collinwood,1,None,9.801518856485751,N,NA,mpn,Wright County,86029300
