BeachName,Date,Ecoli_1dGM,Temp_F,Notes,ClosureYN,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureReason,MonitoringOrg,DNRID
Libbs Lake,06/04/2014,1.888175022589804,73.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/16/2014,16.792601477371942,72,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/02/2014,5.860312103167042,73,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/30/2014,2.982402158912271,76,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/01/2015,10.654715765943845,75.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/15/2015,5.997152854758778,78.8,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/13/2017,17.714106705340882,76.7,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/11/2017,2.1940226584572007,81,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/08/2017,2,73.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/13/2018,28.09822418779217,71.4,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/11/2018,1.8612097182041991,80.4,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/09/2018,NA,78.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/17/2019,4.872394618371295,78.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/20/2020,5.684732112928118,80.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/13/2020,5.0877660478927975,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/15/2021,17.48930088092411,79,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
